nombre,weight_class,Genre,Height_cms,Reach_cms,Weight_lbs,ID_peleador
Maxim Grishin,Error,Male,190.5,198.12,220.0,1561
Maxim Grishin,Peso_Pactado,Male,190.5,198.12,220.0,1561
Chris Daukaus,Error,Male,190.5,193.04,250.0,1562
Darrick Minner,Featherweight,Male,170.18,175.26,145.0,1563
Nassourdine Imavov,Middleweight,Male,190.5,190.5,185.0,1564
Derrick Lewis,Error,Male,190.5,200.66,260.0,1565
Derrick Lewis,Peso_Pactado,Male,190.5,200.66,260.0,1565
Derrick Lewis,Heavyweight,Male,190.5,200.66,260.0,1565
John Castaneda,Bantamweight,Male,167.64,180.34,135.0,1566
John Castaneda,Error,Male,167.64,180.34,135.0,1566
Tom Aspinall,Error,Male,195.58,198.12,256.0,1567
Tom Aspinall,Peso_Pactado,Male,195.58,198.12,256.0,1567
Danny Chavez,Featherweight,Male,172.72,170.18,145.0,1568
Yana Kunitskaya,Bantamweight,Women,167.64,172.72,135.0,1569
Yana Kunitskaya,Peso_Pactado,Women,167.64,172.72,135.0,1569
